id,name,url
2802,Find The K-th Lucky Number,https://leetcode.com/problems/find-the-k-th-lucky-number/description/
2803,Factorial Generator,https://leetcode.com/problems/factorial-generator/description/
2804,Array Prototype ForEach,https://leetcode.com/problems/array-prototype-foreach/description/
2805,Custom Interval,https://leetcode.com/problems/custom-interval/description/
2806,Account Balance After Rounded Purchase,https://leetcode.com/problems/account-balance-after-rounded-purchase/description/
2807,Insert Greatest Common Divisors in Linked List,https://leetcode.com/problems/insert-greatest-common-divisors-in-linked-list/description/
2808,Minimum Seconds to Equalize a Circular Array,https://leetcode.com/problems/minimum-seconds-to-equalize-a-circular-array/description/
2809,Minimum Time to Make Array Sum At Most x,https://leetcode.com/problems/minimum-time-to-make-array-sum-at-most-x/description/
2810,Faulty Keyboard,https://leetcode.com/problems/faulty-keyboard/description/
2811,Check if it is Possible to Split Array,https://leetcode.com/problems/check-if-it-is-possible-to-split-array/description/
2812,Find the Safest Path in a Grid,https://leetcode.com/problems/find-the-safest-path-in-a-grid/description/
2813,Maximum Elegance of a K-Length Subsequence,https://leetcode.com/problems/maximum-elegance-of-a-k-length-subsequence/description/
2814,Minimum Time Takes to Reach Destination Without Drowning,https://leetcode.com/problems/minimum-time-takes-to-reach-destination-without-drowning/description/
2815,Max Pair Sum in an Array,https://leetcode.com/problems/max-pair-sum-in-an-array/description/
2816,Double a Number Represented as a Linked List,https://leetcode.com/problems/double-a-number-represented-as-a-linked-list/description/
2817,Minimum Absolute Difference Between Elements With Constraint,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint/description/
2818,Apply Operations to Maximize Score,https://leetcode.com/problems/apply-operations-to-maximize-score/description/
2819,Minimum Relative Loss After Buying Chocolates,https://leetcode.com/problems/minimum-relative-loss-after-buying-chocolates/description/
2820,Election Results,https://leetcode.com/problems/election-results/description/
2821,Delay the Resolution of Each Promise,https://leetcode.com/problems/delay-the-resolution-of-each-promise/description/
2822,Inversion of Object,https://leetcode.com/problems/inversion-of-object/description/
